x,y,species cloglog values
766.0,766.0,0.23434061
767.0,767.0,0.14375748
768.0,768.0,0.06472087
769.0,769.0,0.109830506
770.0,770.0,0.13460535
771.0,771.0,0.091505446
772.0,772.0,0.011635096
773.0,773.0,5.560915E-4
774.0,774.0,0.0019403336
775.0,775.0,0.5137395
776.0,776.0,0.43237758
777.0,777.0,0.2077753
778.0,778.0,0.4396569
779.0,779.0,0.55526394
780.0,780.0,0.5302226
781.0,781.0,0.3898615
782.0,782.0,0.313083
783.0,783.0,0.5020139
784.0,784.0,0.40164563
785.0,785.0,0.62551254
786.0,786.0,0.34158108
787.0,787.0,0.15710369
788.0,788.0,0.10926636
789.0,789.0,0.16588874
790.0,790.0,0.12340507
791.0,791.0,0.16579187
792.0,792.0,0.5908785
793.0,793.0,0.19762167
794.0,794.0,0.12936509
795.0,795.0,0.46504465
796.0,796.0,0.03765605
797.0,797.0,0.0049164416
798.0,798.0,0.0042111515
799.0,799.0,0.5091779
800.0,800.0,0.59291804
801.0,801.0,0.2473805
802.0,802.0,0.29816696
803.0,803.0,0.5545633
804.0,804.0,0.29482242
805.0,805.0,0.5081199
806.0,806.0,0.4875846
807.0,807.0,0.19749154
808.0,808.0,0.07776514
809.0,809.0,0.07469197
810.0,810.0,0.11266888
811.0,811.0,0.09441041
812.0,812.0,0.038985644
813.0,813.0,0.007261043
814.0,814.0,0.008750136
815.0,815.0,0.010557385
816.0,816.0,0.017275563
817.0,817.0,0.017558122
818.0,818.0,0.0025129328
819.0,819.0,0.5814165
820.0,820.0,0.30160895
821.0,821.0,0.2700736
822.0,822.0,0.52686495
823.0,823.0,0.55517566
824.0,824.0,0.6092678
825.0,825.0,0.32602102
826.0,826.0,0.05056792
827.0,827.0,0.09184735
828.0,828.0,0.11175645
829.0,829.0,0.009595067
830.0,830.0,0.5380716
831.0,831.0,0.49482837
832.0,832.0,0.6747988
833.0,833.0,0.46450716
834.0,834.0,0.20269649
835.0,835.0,0.2109238
836.0,836.0,0.16384672
837.0,837.0,0.008382691
838.0,838.0,0.47513464
839.0,839.0,0.31833243
840.0,840.0,0.28607923
841.0,841.0,0.36252394
842.0,842.0,0.18910372
843.0,843.0,0.08137975
844.0,844.0,0.5413008
845.0,845.0,0.74596906
846.0,846.0,0.47735634
847.0,847.0,0.3345223
848.0,848.0,0.25762492
849.0,849.0,0.11120796
850.0,850.0,0.023289364
851.0,851.0,0.0030009698
852.0,852.0,0.003387972
853.0,853.0,0.5900755
854.0,854.0,0.50291425
855.0,855.0,0.49342605
856.0,856.0,0.32723975
857.0,857.0,0.2750536
858.0,858.0,0.23470724
859.0,859.0,0.257697
860.0,860.0,0.21725197
861.0,861.0,0.227568
862.0,862.0,0.15335351
863.0,863.0,0.04272277
864.0,864.0,0.047943816
865.0,865.0,0.046919893
866.0,866.0,0.022962013
867.0,867.0,0.43977046
868.0,868.0,0.66272616
869.0,869.0,0.42408863
870.0,870.0,0.209856
871.0,871.0,0.04856384
872.0,872.0,0.20203018
873.0,873.0,0.33033863
874.0,874.0,0.24147047
875.0,875.0,0.22355941
876.0,876.0,0.14139614
877.0,877.0,0.18639293
878.0,878.0,0.18153337
879.0,879.0,0.06249969
880.0,880.0,0.06630618
881.0,881.0,0.044039004
882.0,882.0,0.57517993
883.0,883.0,0.5336295
884.0,884.0,0.9519572
885.0,885.0,0.5794788
886.0,886.0,0.3402997
887.0,887.0,0.28854272
888.0,888.0,0.19592646
889.0,889.0,0.19349274
890.0,890.0,0.12153264
891.0,891.0,0.1841615
892.0,892.0,0.18258172
893.0,893.0,0.39799902
894.0,894.0,0.70932794
895.0,895.0,0.4556582
896.0,896.0,0.31373078
897.0,897.0,0.4986929
898.0,898.0,0.19913636
899.0,899.0,0.056745477
900.0,900.0,0.034711383
901.0,901.0,0.17278337
902.0,902.0,0.20347358
903.0,903.0,0.2977247
904.0,904.0,0.29432738
905.0,905.0,0.32503986
906.0,906.0,0.33452788
907.0,907.0,0.26960576
908.0,908.0,0.18560183
909.0,909.0,0.08654935
910.0,910.0,0.19369224
911.0,911.0,0.17394166
912.0,912.0,0.1552696
913.0,913.0,0.17541221
914.0,914.0,0.16893704
915.0,915.0,0.1293432
916.0,916.0,0.107902765
917.0,917.0,0.19102007
918.0,918.0,0.14101465
919.0,919.0,0.16479546
920.0,920.0,0.16129269
921.0,921.0,0.1546062
922.0,922.0,0.13354829
923.0,923.0,0.1905369
924.0,924.0,0.13382262
925.0,925.0,0.1395074
926.0,926.0,2.7846431E-4
927.0,927.0,0.034224782
928.0,928.0,0.028711738
929.0,929.0,0.04049355
930.0,930.0,0.013209946
931.0,931.0,0.38369
932.0,932.0,0.03227251
933.0,933.0,0.41011778
934.0,934.0,0.29891798
935.0,935.0,0.37135565
936.0,936.0,0.12640366
937.0,937.0,0.38895854
938.0,938.0,0.42299804
939.0,939.0,0.04190661
940.0,940.0,0.3464194
941.0,941.0,0.42990386
942.0,942.0,0.18455021
943.0,943.0,0.012782703
944.0,944.0,0.017546194
945.0,945.0,0.006377344
946.0,946.0,0.0041441247
947.0,947.0,0.006942638
948.0,948.0,0.0072114477
949.0,949.0,0.0072397254
950.0,950.0,0.010711902
951.0,951.0,0.013480872
952.0,952.0,0.023225168
953.0,953.0,0.028991159
954.0,954.0,0.030722672
955.0,955.0,0.034876518
956.0,956.0,0.009490632
957.0,957.0,0.007829536
958.0,958.0,0.01375595
959.0,959.0,0.0098608155
960.0,960.0,0.018936805
961.0,961.0,0.015637735
962.0,962.0,0.036661163
963.0,963.0,0.005256653
964.0,964.0,0.024696043
965.0,965.0,0.013583443
966.0,966.0,0.0028384884
967.0,967.0,0.030190093
968.0,968.0,0.003915188
969.0,969.0,0.01916853
970.0,970.0,0.058055077
971.0,971.0,0.008029933
972.0,972.0,0.021107312
973.0,973.0,0.038244925
974.0,974.0,0.10446335
975.0,975.0,0.011211413
