Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.41612E-4,56.512472195,0.737528695,0.175794251,0.583515682,0
6.45512E-4,57.15747601,0.739654371,0.172465961,0.584245077,0
6.48079E-4,57.287049168,0.741043843,0.172163389,0.590080233,0
6.5766E-4,57.614204754,0.746165001,0.17065053,0.592997812,0
6.63973E-4,58.07859108,0.749484024,0.168229955,0.593727206,0
6.64829E-4,58.344480367,0.749930236,0.167019667,0.598832969,0
6.68078E-4,59.212701218,0.75161835,0.163086233,0.601750547,0
6.68114E-4,59.279512622,0.751637247,0.163086233,0.610503282,0
6.68572E-4,60.215199012,0.751874499,0.158850227,0.620714807,0
6.75528E-4,60.483323554,0.755446527,0.157639939,0.623632385,0
6.7603E-4,60.550926545,0.755702287,0.157337368,0.62436178,0
6.79645E-4,63.796231577,0.757536313,0.142813918,0.659372721,0
6.87764E-4,64.138694418,0.761605817,0.141301059,0.662290299,0
6.88248E-4,64.551643263,0.761846472,0.139183056,0.663019694,0
6.8928E-4,64.964700011,0.7623581,0.137670197,0.671043034,0
6.94103E-4,65.447678148,0.764735948,0.135552194,0.676148796,0
6.97803E-4,65.795099811,0.766543509,0.134039334,0.67979577,0
6.99606E-4,66.564666391,0.767419383,0.130408472,0.680525164,0
7.08684E-4,67.059958188,0.771779623,0.128593041,0.692195478,0
7.10771E-4,68.194060983,0.772770503,0.123751891,0.703865791,0
7.16906E-4,68.265751541,0.775658108,0.123449319,0.703865791,0
7.23603E-4,69.413470197,0.778768646,0.118608169,0.715536105,0
7.23603E-4,69.702911321,0.778768646,0.11709531,0.715536105,0
7.24405E-4,69.775351795,0.7791382,0.11709531,0.719183078,0
7.24405E-4,70.209994639,0.7791382,0.114977307,0.719183078,0
7.2962E-4,70.282956614,0.781526424,0.114977307,0.72428884,0
7.34245E-4,70.50273447,0.783622963,0.114069592,0.726477024,0
7.40103E-4,84.052829153,0.78624924,0.058396369,0.860685631,0
7.48097E-4,85.977895419,0.789782179,0.050529501,0.879649891,0
7.50672E-4,86.052962609,0.790907623,0.050226929,0.880379285,0
7.54549E-4,86.353619062,0.792590803,0.049016641,0.883296864,0
7.54549E-4,87.032713007,0.792590803,0.045990923,0.883296864,0
7.60039E-4,88.091134218,0.794951164,0.042057489,0.900072939,0
7.73846E-4,88.624542158,0.800769389,0.039939486,0.905178702,0
7.73846E-4,89.16623451,0.800769389,0.037518911,0.905178702,0
7.87534E-4,89.322963561,0.806374263,0.037216339,0.911013858,0
8.14005E-4,89.729966188,0.816770292,0.035400908,0.911743253,0
8.14016E-4,89.811367825,0.816774541,0.035400908,0.915390226,0
8.14016E-4,95.265277552,0.816774541,0.014826021,0.915390226,0
8.30607E-4,96.594247977,0.823003357,0.009984871,0.964989059,0
8.56905E-4,96.763486634,0.832446191,0.0096823,0.976659373,0
8.72773E-4,97.022288152,0.837898427,0.008774584,0.978847557,0
9.09382E-4,97.287780976,0.849809914,0.007866868,0.98103574,0
9.09382E-4,97.560595601,0.849809914,0.006656581,0.98103574,0
1.06783E-3,97.94803864,0.892059099,0.005748865,0.986141503,0
1.10086E-3,98.164907129,0.899242669,0.005143722,0.987600292,0
1.13586E-3,98.498664592,0.906332005,0.004236006,0.989788476,0
1.15424E-3,99.409187722,0.909854713,0.001815431,0.995623632,0
1.15424E-3,99.640036331,0.909854713,0.000907716,0.995623632,0
1.19988E-3,99.760024221,0.918035817,0.000907716,0.997811816,0
1.19988E-3,100,0.918035817,0,0.997811816,0
