x,y,species cloglog values
717.0,717.0,0.43031207
718.0,718.0,0.5350405
719.0,719.0,0.5311048
720.0,720.0,0.3034604
721.0,721.0,0.2051866
722.0,722.0,0.19328073
723.0,723.0,0.26682383
724.0,724.0,0.56446224
725.0,725.0,0.26062363
726.0,726.0,0.2241609
727.0,727.0,0.15977007
728.0,728.0,0.014753848
729.0,729.0,0.017138738
730.0,730.0,0.022657994
731.0,731.0,0.039908852
732.0,732.0,0.095712565
733.0,733.0,0.008628474
734.0,734.0,0.38555068
735.0,735.0,0.39270303
736.0,736.0,0.7408135
737.0,737.0,0.3813954
738.0,738.0,0.13147445
739.0,739.0,0.21397766
740.0,740.0,0.29391712
741.0,741.0,0.24376854
742.0,742.0,0.19767728
743.0,743.0,0.027336504
744.0,744.0,0.4012031
745.0,745.0,0.4045249
746.0,746.0,0.62912816
747.0,747.0,0.29067147
748.0,748.0,0.35069615
749.0,749.0,0.3105721
750.0,750.0,0.8032092
751.0,751.0,0.68324697
752.0,752.0,0.70707256
753.0,753.0,0.12371265
754.0,754.0,0.010144778
755.0,755.0,0.013447828
756.0,756.0,0.7298822
757.0,757.0,0.30897385
758.0,758.0,0.31010762
759.0,759.0,0.24889635
760.0,760.0,0.12852845
761.0,761.0,0.40798742
762.0,762.0,0.15483287
763.0,763.0,0.6031421
764.0,764.0,0.6182057
765.0,765.0,0.4334302
766.0,766.0,0.38988742
767.0,767.0,0.3133694
768.0,768.0,0.6202405
769.0,769.0,0.5595488
770.0,770.0,0.4393364
771.0,771.0,0.44734377
772.0,772.0,0.7383349
773.0,773.0,0.6542184
774.0,774.0,0.28896627
775.0,775.0,0.27547932
776.0,776.0,0.5138915
777.0,777.0,0.59148943
778.0,778.0,0.63301784
779.0,779.0,0.6314251
780.0,780.0,0.65390325
781.0,781.0,0.62114656
782.0,782.0,0.22204624
783.0,783.0,0.5582409
784.0,784.0,0.44326138
785.0,785.0,0.4396547
786.0,786.0,0.48166177
787.0,787.0,0.49922618
788.0,788.0,0.48653296
789.0,789.0,0.48489568
790.0,790.0,0.47262502
791.0,791.0,0.49079907
792.0,792.0,0.45794708
793.0,793.0,0.34019136
794.0,794.0,0.031259757
795.0,795.0,0.24345858
796.0,796.0,0.2608207
797.0,797.0,0.22909075
798.0,798.0,0.019419966
799.0,799.0,0.55257845
800.0,800.0,0.030715052
801.0,801.0,0.6621882
802.0,802.0,0.44618878
803.0,803.0,0.50271326
804.0,804.0,0.23328108
805.0,805.0,0.6667776
806.0,806.0,0.6334029
807.0,807.0,0.036230925
808.0,808.0,0.50344974
809.0,809.0,0.481159
810.0,810.0,0.31418097
811.0,811.0,0.11259568
812.0,812.0,0.1462899
813.0,813.0,0.08874477
814.0,814.0,0.0630967
815.0,815.0,0.099337354
816.0,816.0,0.099102475
817.0,817.0,0.104860514
818.0,818.0,0.021439878
819.0,819.0,0.15657374
820.0,820.0,0.18702373
821.0,821.0,0.20282258
822.0,822.0,0.17038973
823.0,823.0,0.10287105
824.0,824.0,0.13400169
825.0,825.0,0.105400965
826.0,826.0,0.05697301
827.0,827.0,0.12863433
828.0,828.0,0.090772286
829.0,829.0,0.05707839
830.0,830.0,0.22330172
831.0,831.0,0.015753608
832.0,832.0,0.18676662
833.0,833.0,0.12690921
834.0,834.0,0.10724734
835.0,835.0,0.085970946
836.0,836.0,0.14668272
837.0,837.0,0.1751578
838.0,838.0,0.08122059
839.0,839.0,0.17144227
840.0,840.0,0.075029664
841.0,841.0,0.14865665
842.0,842.0,0.07652777
843.0,843.0,0.11906272
844.0,844.0,0.08314504
845.0,845.0,0.060407136
846.0,846.0,0.051791996
847.0,847.0,0.05402916
848.0,848.0,0.06559141
849.0,849.0,0.11258919
850.0,850.0,0.111477934
851.0,851.0,0.21195403
852.0,852.0,0.13007647
853.0,853.0,0.052185405
854.0,854.0,0.060348973
855.0,855.0,0.07468624
856.0,856.0,0.061602518
857.0,857.0,0.046548005
858.0,858.0,0.067477696
859.0,859.0,0.093383715
860.0,860.0,0.11012102
861.0,861.0,0.11276937
862.0,862.0,0.053963788
863.0,863.0,0.059560545
864.0,864.0,0.08731362
865.0,865.0,0.06353144
866.0,866.0,0.067549035
867.0,867.0,0.06712428
868.0,868.0,0.06517713
869.0,869.0,0.06179559
870.0,870.0,0.044795353
871.0,871.0,0.08142193
872.0,872.0,0.06869131
873.0,873.0,0.10054197
874.0,874.0,0.060272276
875.0,875.0,0.0873714
876.0,876.0,0.14083347
877.0,877.0,0.07776444
878.0,878.0,0.07935189
879.0,879.0,0.050814297
880.0,880.0,0.06305444
881.0,881.0,0.0976716
882.0,882.0,0.05365695
883.0,883.0,0.06108527
884.0,884.0,0.036255505
885.0,885.0,0.047893457
886.0,886.0,0.04630569
887.0,887.0,0.050057422
888.0,888.0,0.027960662
889.0,889.0,0.1376161
890.0,890.0,0.102391906
891.0,891.0,0.1488202
892.0,892.0,0.18927522
893.0,893.0,0.17975837
894.0,894.0,0.15196204
895.0,895.0,0.08844881
896.0,896.0,0.12343203
897.0,897.0,0.12702695
898.0,898.0,0.09180196
899.0,899.0,0.11588763
900.0,900.0,0.101006456
901.0,901.0,0.16798629
902.0,902.0,0.3869926
903.0,903.0,0.10710066
904.0,904.0,0.10396765
905.0,905.0,0.13105331
906.0,906.0,0.15222543
907.0,907.0,0.16130927
908.0,908.0,0.12128694
909.0,909.0,0.14180407
910.0,910.0,0.07981866
911.0,911.0,0.12046663
912.0,912.0,0.12352281
913.0,913.0,0.19692221
914.0,914.0,0.14258492
915.0,915.0,0.20133114
916.0,916.0,0.17666402
917.0,917.0,0.12197564
918.0,918.0,0.06691073
919.0,919.0,0.07818739
920.0,920.0,0.0992515
921.0,921.0,0.12954351
922.0,922.0,0.11482634
923.0,923.0,0.11193553
924.0,924.0,0.16591394
925.0,925.0,0.12784334
926.0,926.0,0.07037287
927.0,927.0,0.04845298
928.0,928.0,0.052982938
929.0,929.0,0.01524307
930.0,930.0,0.066493176
931.0,931.0,0.082144655
932.0,932.0,0.1069432
933.0,933.0,0.061742906
934.0,934.0,0.07864205
935.0,935.0,0.109546304
936.0,936.0,0.14045498
937.0,937.0,0.09800527
938.0,938.0,0.07940105
939.0,939.0,0.077281006
940.0,940.0,0.09911075
941.0,941.0,0.16088551
942.0,942.0,0.13630812
943.0,943.0,0.11705828
944.0,944.0,0.121742845
945.0,945.0,0.049029056
946.0,946.0,0.17498961
947.0,947.0,0.18827364
948.0,948.0,0.07808016
949.0,949.0,0.1069752
950.0,950.0,0.21111661
951.0,951.0,0.06919973
952.0,952.0,0.073829
953.0,953.0,0.107941866
954.0,954.0,0.109954
955.0,955.0,0.1130092
956.0,956.0,0.08127753
957.0,957.0,0.173256
958.0,958.0,0.17785357
959.0,959.0,0.083567046
960.0,960.0,0.08928867
961.0,961.0,0.1352858
962.0,962.0,0.11022119
963.0,963.0,0.13496706
964.0,964.0,0.17649102
965.0,965.0,0.15483838
966.0,966.0,0.076904766
967.0,967.0,0.08946151
968.0,968.0,0.11834066
969.0,969.0,0.12776235
970.0,970.0,0.09487485
971.0,971.0,0.2225851
972.0,972.0,0.07998053
973.0,973.0,0.10318033
974.0,974.0,0.16545147
975.0,975.0,0.12994201
976.0,976.0,0.07939555
977.0,977.0,0.04740753
978.0,978.0,0.24848138
979.0,979.0,0.18993026
980.0,980.0,0.13415144
981.0,981.0,0.092461325
982.0,982.0,0.19070081
983.0,983.0,0.080305204
984.0,984.0,0.12426572
985.0,985.0,0.29090557
986.0,986.0,0.2636463
987.0,987.0,0.28315726
